restaurant_display,city,am_name,am_email
Figo,Beograd,,
Ramen Shop by Vegangelov,Beograd,,
Index House Beograd,Beograd,,
Moja kuhinjica,Beograd,,
Knedla Bar & Coffee Shop,Beograd,,
Princess Puff,Beograd,,
Jedno Mesto,Beograd,,
Bagel Bejgl,Beograd,,
METROPOLIS FOOD BAR,Beograd,,
Linija ukusa,Beograd,,
Tabor,Beograd,,
Tropic,Beograd,,
TORO Latin Gastro Bar,Beograd,,
Fu Yuan Restauran,Beograd,,
Vagon Victoria,Beograd,,
Restoran Talir,Beograd,,
Restoran Savski Venac,Beograd,,
Paella & Tapas Bar by Milagro,Beograd,,
Vera Cafe,Beograd,,
Tatalino Palačinke,Beograd,,
Ruske palačinke,Beograd,,
Del Toros Premium Burgeri,Beograd,,
Zlatni Opanak,Beograd,,
Coffee Pass,Beograd,,
Restoran Ceger,Beograd,,
Amici,Beograd,,
La Mirage Restoran,Beograd,,
Pab Klopa I Pivo 2,Beograd,,
Livnica Dorcol,Beograd,,
Fini Dorćol,Beograd,,
Kod komše,Beograd,,
Ferdinand knedle Beograd,Beograd,,
Salatara,Beograd,,
Real Berlin Doner,Beograd,,
Caviar,Beograd,,
Yalla Lebanese Food - TC Rajićeva,Beograd,,
Casa Di Pizza-Belgrade Waterfront,Beograd,,
Willow Stari Grad,Beograd,,
Strada,Beograd,,
CRUST pizzabar,Beograd,,
Salateria Minty,Beograd,,
Roštilj Slavonac Palilula,Beograd,,
Smash BRT Burger | TC Rajićeva,Beograd,,
Samo Komplet,Beograd,,
Brusnica Healthy Bar & Restaurant,Beograd,,
Lure Palačinke | TC Rajićeva,Beograd,,
Amigos Buritos & Tacos | TC Rajićeva,Beograd,,
Skara - Balkan Grill | TC Rajićeva,Beograd,,
Ararat,Beograd,,
Chopper,Beograd,,
Uganda Connect Coffeeshop,Beograd,,
Mornar Dečanska,Beograd,,
KP Burgers,Beograd,,
Mi Terraza Cuba Bar - Restaurante,Beograd,,
Sonder Cafe Dorćol,Beograd,,
Restoran Banija,Beograd,,
Hangry,Beograd,,
Ispeci pa reci,Beograd,,
Moka Brunch,Beograd,,
Pizzeria Luigi,Beograd,,
Ambar Balkan Cuisine,Beograd,,
Restoran Veliki trg,Beograd,,
Mandarina Novi Beograd,Beograd,,
Pivzdarija Pab,Beograd,,
Savanova,Beograd,,
Užičanka-komplet lepinje,Beograd,,
ORIZURU Sushi,Beograd,,
Pastrami,Beograd,,
Taco ljubavi,Beograd,,
Bubble Factory Ušće,Beograd,,
Mr Giros 011,Beograd,,
Talija Bistro,Beograd,,
Mandarina,Beograd,,
BOBO Boucher et Botanist,Beograd,,
Nikki Sushi,Beograd,,
Pad Thai Wok | TC Rajićeva,Beograd,,
Botanica Caffe,Beograd,,
BEGE BOSS,Beograd,,
Family Taste of China 中国家庭风味,Beograd,,
Piter - Shawarma i Krofne,Beograd,,
Kod Debelog,Beograd,,
Nostra Pizza,Beograd,,
Restoran Mihailo,Beograd,,
Restoran Snežana,Beograd,,
Hood Food,Beograd,,
Trattoria Campania,Beograd,,
Sač bar,Beograd,,
Ćevabdžinica Ranković,Beograd,,
ZDRAVco,Beograd,,
Momi Crazy Fish,Beograd,,
Gurme Srbija,Beograd,,
X-RAMEN,Beograd,,
Slatki Kutak,Beograd,,
Ben Jia Korean BBQ,Beograd,,
Pizza Stojkovic,Beograd,,
Shangri-la Hangar,Beograd,,
Siesta La Cocina Novi Beograd,Beograd,,
Potatos,Beograd,,
Andrea Mia Zemunski Kej,Beograd,,
Drama ćevapi,Beograd,,
Panda Chinese Food | TC Rajićeva,Beograd,,
Pasta Bar by Prana 2,Beograd,,
Majstor i Margarita,Beograd,,
Perper,Beograd,,
Sunshine Bagel,Beograd,,
Restoran Hanan,Beograd,,
Burgerizza,Beograd,,
Meet & Sip Coffee Point,Beograd,,
Merak Balkan Cusine | Senjak,Beograd,,
Ipak se okreće,Beograd,,
TISI Global Cuisine,Beograd,,
Bamboo Panda Asian Food Restoran Vračar,Beograd,,
NICE 2025 Dumpling,Beograd,,
Restoran Maslina,Beograd,,
Kompletara Dabić Vračar,Beograd,,
URA! Russian Dumplings,Beograd,,
Spički,Beograd,,
Oliva,Beograd,,
Restoran Žar Plus,Beograd,,
Homa Bistrot,Beograd,,
Naša Priča Zemun,Beograd,,
Pasta bar Bulevar,Beograd,,
Sol Gastro Bar,Beograd,,
Ćurka Palasmarsa,Beograd,,
Chuty's,Beograd,,
Mamma's Biscuit House,Beograd,,
Dva Štapića,Beograd,,
Stroganov Family,Beograd,,
IDOL bar,Beograd,,
Sushidream Centar,Beograd,,
Byblos – Urban Lebanese Street Food Vračar,Beograd,,
Pacific Fish,Beograd,,
Soup Box,Beograd,,
Marukoshi,Beograd,,
Zona plus NBG - Domaća jela i ketering,Beograd,,
Restoran Nachos,Beograd,,
Cafe&factory 6,Beograd,,
DXB HOUSE,Beograd,,
Restaurant Olivio,Beograd,,
Mister Wang Slavija,Beograd,,
Kafe Svako Dobro,Beograd,,
Leskovačka Skara Karaburma,Beograd,,
KMC KITCHEN,Beograd,,
"Kafeterija „Bukmarker“, Lagunin klub čitalaca",Beograd,,
Mega Gym Bistro Central,Beograd,,
Bakine palačinke,Beograd,,
Restoran Pečat,Beograd,,
Turist Burger,Beograd,,
Etno restoran Zlatar,Beograd,,
